index,loc_name,storeid,address_raw,city,work_time,RunDate,loc_type,brand,shop_info
0,泰安东岳大街店,(No.A0832),泰山区财源街道东岳大街258号,泰安,10:00-21:00,08/01/21 07:10,代运营,luckin coffee,
1,泰安宝龙城市广场店,(No.A1595),泰山区泰前街道宝龙城市广场B区2幢1036号,泰安,10:00-21:00,08/01/21 07:10,代运营,luckin coffee,
2,泰安万达广场店,(No.A1363),泰山区财源街道万达金街E区124号,泰安,08:00-22:00,08/01/21 07:10,代运营,luckin coffee,
3,泰山科技学院店,(No.A1187),岱岳区山口镇学院西路8号山东科技大学泰山科技学院新校区东岳书院院内,泰安,09:00-20:00,08/01/21 07:10,代运营,luckin coffee,
4,泰安吾悦金街店,(No.A1978),敬请期待!,泰安,08:00-18:00,08/01/21 07:10,代运营,luckin coffee,
5,曲阜师大店,(No.A1834),敬请期待!,泰安,08:00-18:00,08/01/21 07:10,代运营,luckin coffee,
6,南通如皋新城吾悦广场店,(No.A0861),如皋市如城街道惠政路5号新城吾悦广场金街4-103（肯德基旁向南18米）,如皋(南通),08:00-21:00,08/01/21 07:10,代运营,luckin coffee,
7,如皋安定广场安定街店,(No.A0870),如皋市安定街5好安定广场艾安阁北侧绿叶童装旁,如皋(南通),07:00-23:00,08/01/21 07:10,代运营,luckin coffee,
8,河源翔丰商业广场店,(No.A1315),源城区上城街道翔丰商业广场,河源,08:30-22:30,08/01/21 07:10,代运营,luckin coffee,
9,河源万隆城店,(No.A1236),源城区中山大道218号万隆财富中心写字楼一层大堂L102,河源,08:30-22:30,08/01/21 07:10,代运营,luckin coffee,
10,河源坚基店,(No.A1338),源城区东埔街道越王大道汇景御府中央,河源,08:30-22:30,08/01/21 07:10,代运营,luckin coffee,
11,河源大学城店,(No.A1299),源城区源南镇胜利上门七娘寨地段东环路西面广晟学府花园汇华苑B7栋0011号,河源,08:30-22:00,08/01/21 07:10,代运营,luckin coffee,
12,三明东新三路店,(No.A0366),梅列区东新三路153号,三明,10:00-22:00,08/01/21 07:10,代运营,luckin coffee,
13,三明学院南区店,(No.A1345),三元区荆东路25号三明学院南区京元食堂一层档口,三明,10:30-19:30,08/01/21 07:10,代运营,luckin coffee,
14,三明万达广场店,(No.A1972),敬请期待!,三明,08:00-18:00,08/01/21 07:10,代运营,luckin coffee,
15,宁化天骏店,(No.A1328),宁化县天骏金街11栋109号,三明,09:30-22:00,08/01/21 07:10,代运营,luckin coffee,
16,永安水院学生街店,(No.A1821),国林路699--38号店铺,三明,09:00-22:00,08/01/21 07:10,代运营,luckin coffee,
17,楚雄兆顺第一城店,(No.A0795),鹿环城西路26号兆顺第一城一楼中庭,楚雄(楚雄彝族自治州),09:30-22:30,08/01/21 07:10,代运营,luckin coffee,
18,彝人古镇彝人部落店,(No.A1192),东瓜镇车坪路彝人古镇彝人部落C76幢,楚雄(楚雄彝族自治州),10:00-23:00,08/01/21 07:10,代运营,luckin coffee,
19,淮南八佰伴商场店,(No.A1469),田家庵区朝阳街道八佰伴一层东门,淮南,10:00-22:00,08/01/21 07:10,代运营,luckin coffee,
20,淮南吾悦广场店,(No.A1916),吾悅广场二号门东侧,淮南,08:30-22:30,08/01/21 07:10,代运营,luckin coffee,
21,商贸文化广场西门店,(No.A2002),敬请期待!,淮南,今日休息中,08/01/21 07:10,代运营,luckin coffee,
22,淮南师范学院店,(No.A2020),敬请期待!,淮南,今日休息中,08/01/21 07:10,代运营,luckin coffee,
23,凯里国贸购物中心店,(No.A0015),凯里市城西街道国贸购物中心1层,黔东南苗族侗族自治州,10:30-22:00,08/01/21 07:10,代运营,luckin coffee,
24,凯里九方购物中心店,(No.A2092),敬请期待!,黔东南苗族侗族自治州,08:00-18:00,08/01/21 07:10,代运营,luckin coffee,
25,镇江苏宁广场店,(No.6811),京口区中山东路301号苏宁广场五层,镇江,09:30-21:30,08/01/21 07:10,自运营,luckin coffee,
26,漫书城店,(No.3036),京口区中山东路254号漫书城底铺,镇江,07:30-20:30,08/01/21 07:10,自运营,luckin coffee,
27,镇江市电信局店,(No.6054),润州区电力路18号一层,镇江,今日休息中,08/01/21 07:10,自运营,luckin coffee,
28,梦溪广场店,(No.4764),京口区梦溪路14号,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
29,中浩国际广场店,(No.3493),润州区黄山路66号中浩国际广场底商,镇江,08:00-19:30,08/01/21 07:10,自运营,luckin coffee,
30,镇江文广集团店,(No.3467),京口区长江路33号镇江文广集团底商,镇江,今日休息中,08/01/21 07:10,自运营,luckin coffee,
31,镇江凤凰广场店,(No.4457),京口区东吴路48号10109-3号,镇江,09:30-21:30,08/01/21 07:10,自运营,luckin coffee,
32,协信星光时代广场店,(No.4378),润州区中山西路92号镇江协信星光时代广场四层,镇江,10:00-21:00,08/01/21 07:10,自运营,luckin coffee,
33,扬中通达商厦店,(No.A1612),前进北路通达商厦一层,镇江,09:00-20:30,08/01/21 07:10,代运营,luckin coffee,
34,高港大润发店,(No.A1496),高港区口岸街道 金港中路1号高港时代广场A幢1178室商业中心,镇江,08:00-21:30,08/01/21 07:10,代运营,luckin coffee,
35,圌心大厦店,(No.4312),京口区赵声路398号1幢圌心大厦一层大堂,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
36,泰兴万达广场店,(No.A1594),鼓楼北路333号万达广场3号门1F层1025商铺,镇江,08:00-22:00,08/01/21 07:10,代运营,luckin coffee,
37,泰兴吾悦广场金街店,(No.A1904),济川街道泰兴吾悦广场S1-130铺位,镇江,08:00-21:00,08/01/21 07:10,代运营,luckin coffee,
38,泰兴鼓楼购物中心店,(No.A1837),鼓楼西路2号襟江巷南侧东,镇江,08:30-21:00,08/01/21 07:10,代运营,luckin coffee,
39,泰兴吾悦广场店,(No.A1368),敬请期待!,镇江,08:00-18:00,08/01/21 07:10,代运营,luckin coffee,
40,常发大厦店,(No.2793),润州区黄山西路29号常发大厦一层大堂,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
41,镇江万达广场店,(No.2859),润州区黄山西路19号万达广场室内步行街一层1006-A商铺,镇江,09:30-21:30,08/01/21 07:10,自运营,luckin coffee,
42,镇江新城吾悦广场店,(No.3263),京口区丁卯桥路233号吾悦广场一层中国移动营业厅,镇江,08:30-21:30,08/01/21 07:10,自运营,luckin coffee,
43,镇江书香世家酒店店,(No.3551),润州区冠城路8号书香世家酒店一层大堂,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
44,中建大观天下店,(No.3766),京口区学府路88号中建大厦一层101号,镇江,08:00-18:30,08/01/21 07:10,自运营,luckin coffee,
45,泰州数据产业园区店,(No.A1439),高港区药城大道799号数据大厦A幢101室,镇江,08:00-20:00,08/01/21 07:10,代运营,luckin coffee,
46,大润发江都店,(No.4353),江都区仙女镇文昌东路1168号新加坡城大润发底商,镇江,08:00-20:30,08/01/21 07:10,自运营,luckin coffee,
47,红豆万花城店,(No.C0526),广陵区生态科技新城三笑大道101号红豆万花城103号店铺,镇江,今日休息中,08/01/21 07:10,代运营,小鹿茶,
48,丹阳吾悦广场店,(No.A0077),丹阳市开发区金陵西路88号吾悦广场A座写字楼大堂,镇江,09:00-20:30,08/01/21 07:10,代运营,luckin coffee,
49,丹阳八佰伴店,(No.6347),丹阳市云阳街道新民中路2号八佰伴购物中心一层,镇江,09:30-21:00,08/01/21 07:10,自运营,luckin coffee,
50,西津渡店,(No.6065),润州区银山门3号内底商,镇江,08:30-20:00,08/01/21 07:10,自运营,luckin coffee,
51,国投商务广场店,(No.3796),润州区南山路61号国控大厦1幢一层102室,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
52,镇江宝龙广场店,(No.7153),丹徒区谷阳中大道75号宝龙广场一层017,镇江,10:00-22:00,08/01/21 07:10,自运营,luckin coffee,
53,江苏科技大学长山校区店,(No.6800),丹徒区新城长晖路666号江苏科技大学长山校区图书馆一层,镇江,08:00-21:00,08/01/21 07:10,自运营,luckin coffee,
54,丹阳金鹰店,(No.6274),丹阳市云阳街道新民路99号金鹰购物中心一层,镇江,10:00-21:30,08/01/21 07:10,自运营,luckin coffee,
55,金坛新城吾悦广场店,(No.6277),金坛区南环二路1206-5号新城吾悦广场二层2005号,镇江,10:00-21:30,08/01/21 07:10,自运营,luckin coffee,
56,金坛司马坊新天地店,(No.A1325),金坛区金城镇司马坊商业步行街E143号,镇江,09:30-20:30,08/01/21 07:10,代运营,luckin coffee,
57,常州科技街D座店,(No.6288),钟楼区玉龙南路科技街D座一层大堂,镇江,今日休息中,08/01/21 07:10,自运营,luckin coffee,
58,常州宝龙广场店,(No.6231),钟楼区北港街道宝龙国际花园52-51号,镇江,09:00-20:30,08/01/21 07:10,自运营,luckin coffee,
59,常州龙湖天街店,(No.A0819),钟楼区龙湖龙与城商铺65-11号,镇江,09:00-21:00,08/01/21 07:10,代运营,luckin coffee,
60,江苏理工学院西苑店,(No.6232),武进区中吴大道1801号江苏理工学院欧耶超市内,镇江,09:00-20:00,08/01/21 07:10,自运营,luckin coffee,
61,江苏理工学院店,(No.6090),武进区中吴大道1801号江苏理工学院八角餐厅内,镇江,09:00-20:00,08/01/21 07:10,自运营,luckin coffee,
62,ASK众创部落店,(No.3520),常州市新北区华山中路8号ASK众创部落7号楼一层大堂,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
63,江大学府路店,(No.6859),京口区学府路308号水木阳光商一层2-104,镇江,08:00-21:00,08/01/21 07:10,自运营,luckin coffee,
64,新桥商业广场店,(No.6271),新北区新桥镇新桥大街1132号移动营业厅内,镇江,09:00-18:30,08/01/21 07:10,自运营,luckin coffee,
65,江南环球港店,(No.6835),新北区龙虎塘街道通江中路598号江南环球港负一层B1007-1,镇江,10:00-21:30,08/01/21 07:10,自运营,luckin coffee,
66,常州金城大厦店,(No.2914),新北区汉江中路368号金城大厦底商,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
67,浩源大厦店,(No.2863),新北区通江中路266号浩源大厦一层大堂,镇江,08:00-18:00,08/01/21 07:10,自运营,luckin coffee,
68,句容中央商场店,(No.A0638),句容市华阳镇华阳东路1号雨润国际广场105号,镇江,08:30-21:30,08/01/21 07:10,代运营,luckin coffee,
69,交通职业技术学院店,(No.6536),江宁区江宁大学城龙眠大道629号交通职业技术学院第一食堂一层,镇江,08:00-19:30,08/01/21 07:10,自运营,luckin coffee,
70,中国药科大学店,(No.6656),江宁区淳化街道中国药科大学江宁校区图书馆二层,镇江,09:30-19:30,08/01/21 07:10,自运营,luckin coffee,
71,江苏海事职业技术学院店,(No.6760),江宁区淳化街道江苏海事职业技术学院念稼餐厅二层,镇江,07:30-20:30,08/01/21 07:10,自运营,luckin coffee,
72,天赋广场店,(No.A1079),江宁区麒麟街道悦民路128号天赋广场22幢116室,镇江,08:30-20:30,08/01/21 07:10,代运营,luckin coffee,
73,江宁高新区人才公寓店,(No.6075),江宁区淳化街道芝行路161号一层,镇江,08:00-19:30,08/01/21 07:10,自运营,luckin coffee,
74,南京晓庄学院方山校区店,(No.7124),江宁区弘景大道3601号晓庄学院方山校区大学生服务中心二层,镇江,09:00-22:00,08/01/21 07:10,自运营,luckin coffee,
75,金陵科技学院店,(No.4982),江宁区弘景大道99号金陵科技学院北区第一食堂二层,镇江,08:00-20:00,08/01/21 07:10,自运营,luckin coffee,
76,南京万达茂店,(No.3264),栖霞区仙林大道181号万达茂二层,镇江,10:00-20:30,08/01/21 07:10,自运营,luckin coffee,
77,江苏生命科技创新园店,(No.1816),仙林街道纬地路9号江苏生命科技创新园A1区一层,镇江,今日休息中,08/01/21 07:10,自运营,luckin coffee,
78,南京大学仙林校区店,(No.2580),栖霞区仙林大道163号南京大学仙林校区诚园5幢底商,镇江,08:00-21:00,08/01/21 07:10,自运营,luckin coffee,
79,南京大学仙林校区四组团店,(No.7164),栖霞区栖霞大道163号南京大学仙林校区四组团门面房南京大学小移人家营业厅一层,镇江,10:00-18:00,08/01/21 07:10,自运营,luckin coffee,
80,南京工业职业技术学院店,(No.2344),栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层,镇江,08:00-20:00,08/01/21 07:10,自运营,luckin coffee,
